model_id,model,test_subject,session_id,true_label,windows,accuracy,balanced_accuracy,predicted_class_counts,predicted_class_ratio
zyf_personal,zyf personal model,zyf,20260907_zyf_unfocus_01,unfocus,418,0.8421052631578947,,"{""focus"": 66, ""unfocus"": 352}","{""focus"": 0.1578947368421052, ""unfocus"": 0.8421052631578947}"
author_common6,author-common6 model,lyc,20260907_lyc_focus_01,focus,422,0.0,,"{""focus"": 0, ""unfocus"": 422}","{""focus"": 0.0, ""unfocus"": 1.0}"
author_common6,author-common6 model,lyc,20260907_lyc_focus_02,focus,283,0.0,,"{""focus"": 0, ""unfocus"": 283}","{""focus"": 0.0, ""unfocus"": 1.0}"
author_common6,author-common6 model,lyc,20260907_lyc_unfocus_01,unfocus,424,1.0,,"{""focus"": 0, ""unfocus"": 424}","{""focus"": 0.0, ""unfocus"": 1.0}"
author_common6,author-common6 model,zyf,20260907_zyf_focus_01,focus,424,0.0,,"{""focus"": 0, ""unfocus"": 424}","{""focus"": 0.0, ""unfocus"": 1.0}"
author_common6,author-common6 model,zyf,20260907_zyf_focus_02,focus,418,0.0,,"{""focus"": 0, ""unfocus"": 418}","{""focus"": 0.0, ""unfocus"": 1.0}"
author_common6,author-common6 model,zyf,20260907_zyf_unfocus_01,unfocus,418,1.0,,"{""focus"": 0, ""unfocus"": 418}","{""focus"": 0.0, ""unfocus"": 1.0}"
our_common6_pooled,our-common6 model,lyc,20260907_lyc_focus_01,focus,422,0.14218009478672985,,"{""focus"": 60, ""unfocus"": 362}","{""focus"": 0.14218009478672985, ""unfocus"": 0.8578199052132701}"
our_common6_pooled,our-common6 model,lyc,20260907_lyc_focus_02,focus,283,0.607773851590106,,"{""focus"": 172, ""unfocus"": 111}","{""focus"": 0.607773851590106, ""unfocus"": 0.392226148409894}"
our_common6_pooled,our-common6 model,lyc,20260907_lyc_unfocus_01,unfocus,424,0.6367924528301887,,"{""focus"": 154, ""unfocus"": 270}","{""focus"": 0.3632075471698113, ""unfocus"": 0.6367924528301887}"
our_common6_pooled,our-common6 model,zyf,20260907_zyf_focus_01,focus,424,0.02122641509433962,,"{""focus"": 9, ""unfocus"": 415}","{""focus"": 0.02122641509433962, ""unfocus"": 0.9787735849056604}"
our_common6_pooled,our-common6 model,zyf,20260907_zyf_focus_02,focus,418,0.27751196172248804,,"{""focus"": 116, ""unfocus"": 302}","{""focus"": 0.27751196172248804, ""unfocus"": 0.722488038277512}"
our_common6_pooled,our-common6 model,zyf,20260907_zyf_unfocus_01,unfocus,418,0.7870813397129187,,"{""focus"": 89, ""unfocus"": 329}","{""focus"": 0.21291866028708134, ""unfocus"": 0.7870813397129187}"
our_author_mixed_common6,mixed-common6 model,lyc,20260907_lyc_focus_01,focus,422,0.2109004739336493,,"{""focus"": 89, ""unfocus"": 333}","{""focus"": 0.2109004739336493, ""unfocus"": 0.7890995260663507}"
our_author_mixed_common6,mixed-common6 model,lyc,20260907_lyc_focus_02,focus,283,0.47703180212014135,,"{""focus"": 135, ""unfocus"": 148}","{""focus"": 0.47703180212014135, ""unfocus"": 0.5229681978798587}"
our_author_mixed_common6,mixed-common6 model,lyc,20260907_lyc_unfocus_01,unfocus,424,0.7358490566037735,,"{""focus"": 112, ""unfocus"": 312}","{""focus"": 0.2641509433962264, ""unfocus"": 0.7358490566037735}"
our_author_mixed_common6,mixed-common6 model,zyf,20260907_zyf_focus_01,focus,424,0.2358490566037736,,"{""focus"": 100, ""unfocus"": 324}","{""focus"": 0.2358490566037736, ""unfocus"": 0.7641509433962265}"
our_author_mixed_common6,mixed-common6 model,zyf,20260907_zyf_focus_02,focus,418,0.6004784688995215,,"{""focus"": 251, ""unfocus"": 167}","{""focus"": 0.6004784688995215, ""unfocus"": 0.39952153110047844}"
our_author_mixed_common6,mixed-common6 model,zyf,20260907_zyf_unfocus_01,unfocus,418,0.6985645933014354,,"{""focus"": 126, ""unfocus"": 292}","{""focus"": 0.3014354066985646, ""unfocus"": 0.6985645933014354}"
